Hyperparameter,Overall ACC,Overall RACCU,Overall RACC,Kappa,Gwet AC1,Bennett S,Kappa Standard Error,Kappa Unbiased,Scott PI,Kappa No Prevalence,Kappa 95% CI,Standard Error,95% CI,Chi-Squared,Phi-Squared,Cramer V,Response Entropy,Reference Entropy,Cross Entropy,Joint Entropy,Conditional Entropy,Mutual Information,KL Divergence,Lambda B,Lambda A,Chi-Squared DF,Overall J,Hamming Loss,Zero-one Loss,NIR,P-Value,Overall CEN,Overall MCEN,Overall MCC,RR,CBA,AUNU,AUNP,RCI,Pearson C,TPR Micro,TPR Macro,CSI,ARI,TNR Micro,TNR Macro,Bangdiwala B,Krippendorff Alpha,FPR Macro,FNR Macro,PPV Macro,ACC Macro,F1 Macro,FPR Micro,FNR Micro,PPV Micro,F1 Micro,TPR,TNR,PPV,NPV,FNR,FPR,FDR,FOR,ACC,F1,MCC,BM,MK,PLR,NLR,DOR,TP,TN,FP,FN,POP,P,N,TOP,TON,PRE,G,RACC,F0.5,F2,ERR,RACCU,J,IS,CEN,MCEN,AUC,sInd,dInd,DP,Y,GI,LS,AM,BCD,OP,IBA,GM,Q,AGM,AGF,OC,OOC,AUPR,ICSI,HD,BB
Optuna,0.871797619,0.504451899,0.504170115,0.741218335,0.746138455,0.743595238,0.042057914,0.740990963,0.740990963,0.743595238,0.823651845,0.020848102,0.912659899,130.4977575,0.581049815,0.741913435,0.990594293,0.995713056,0.997363701,1.498915818,0.503202763,0.487391531,0.001650645,0.707306266,0.724029966,1,0.780856949,0.128202381,28.8,0.536047619,3.30E-08,0.467736082,0.370814346,0.741913435,112.3,0.854679063,0.869888924,0.869888924,0.489656211,0.583876127,0.871797619,0.869888924,0.741921687,0.581043529,0.871797619,0.869888924,0.770170494,0.741567449,0.130111076,0.130111076,0.872032763,0.871797619,0.870495481,0.128202381,0.128202381,0.871797619,0.871797619,0.896879219,0.842898629,0.869876169,0.874189356,0.103120781,0.157101371,0.130123831,0.125810644,0.871797619,0.882999029,0.741913435,0.739777848,0.744065525,9.013617242,0.137046061,136.9447158,108,87.8,16.4,12.4,224.6,120.4,104.2,124.4,100.2,0.536047619,0.883188318,0.297043391,0.87503863,0.891231907,0.128202381,0.297184283,0.798501148,0.691470174,0.444391462,0.61971502,0.869888924,0.866657568,0.188574676,1.012284832,0.739777848,0.739777848,1.623283981,4,0.009799603,0.837930603,0.798867227,0.869115241,0.924744048,0.860798141,0.879232772,0.898414703,0.883188318,0.883377694,0.766755388,28.8,0.868340686
Optuna,0.839,0.504827849,0.504434586,0.673823098,0.682475403,0.678,0.045676938,0.673366871,0.673366871,0.678,0.763349897,0.022596729,0.883289589,112.2263455,0.500144853,0.674524101,0.989145287,0.995734403,0.998056091,1.565980936,0.570246534,0.418898753,0.002321688,0.622849868,0.648123543,1,0.734041495,0.161,36.2,0.536055556,1.22E-07,0.531657382,0.418431963,0.674524101,112.3,0.821585435,0.836226375,0.836226375,0.420163182,0.541239364,0.839,0.836226375,0.674535508,0.501063125,0.839,0.836226375,0.719109549,0.674093221,0.163773625,0.163773625,0.838309133,0.839,0.836683436,0.161,0.161,0.839,0.839,0.868687996,0.803764754,0.842812518,0.833805747,0.131312004,0.196235246,0.157187482,0.166194253,0.839,0.855283913,0.674524101,0.67245275,0.676618265,8.33590303,0.18653613,122.2692545,104.4,84,20.2,16,224.6,120.4,104.2,124.6,100,0.536055556,0.855516958,0.29761015,0.847696845,0.863206282,0.161,0.297806782,0.757761163,0.642642178,0.505236508,0.679136257,0.836226375,0.832591195,0.236751802,0.901619239,0.67245275,0.67245275,1.576098537,4.2,0.010230159,0.794247354,0.74475031,0.834860227,0.877828475,0.825104032,0.844859134,0.870297454,0.855516958,0.855750257,0.711500515,36.2,0.841203061
Optuna,0.822035714,0.505181014,0.504303535,0.640768054,0.648030121,0.644071429,0.048839164,0.640007225,0.640007225,0.644071429,0.736492816,0.024202766,0.869473136,100.9771463,0.449892155,0.64281946,0.988013693,0.994442604,0.999584988,1.614118119,0.619675515,0.368338178,0.005142384,0.586823763,0.616640913,1,0.70633559,0.177964286,40,0.536095238,4.44E-08,0.575672898,0.450264838,0.64281946,112.3,0.794285321,0.820428075,0.820428075,0.370703074,0.5257815,0.822035714,0.820428075,0.642838691,0.448223806,0.822035714,0.820428075,0.689294877,0.640808051,0.179571925,0.179571925,0.822410616,0.822035714,0.820003613,0.177964286,0.177964286,0.822035714,0.822035714,0.857801316,0.783054833,0.821788162,0.823033071,0.142198684,0.216945167,0.178211838,0.176966929,0.822035714,0.838611926,0.64281946,0.640856149,0.644821233,5.565798184,0.201340567,62.24627984,103.2,81.4,22.8,17.2,224.6,120.4,104.2,126,98.6,0.536095238,0.8392029,0.300681529,0.828255923,0.849817959,0.177964286,0.301120269,0.730903098,0.607581525,0.547259097,0.725964695,0.820428075,0.814098702,0.262904137,0.821081558,0.640856149,0.640856149,1.533784851,5.6,0.01689881,0.769731346,0.723928048,0.818761522,0.869015851,0.807204629,0.831564941,0.864939778,0.8392029,0.839794739,0.679589478,40,0.8146497
Optuna,0.862761905,0.504874147,0.504468886,0.723410689,0.72790336,0.72552381,0.044884186,0.723087056,0.723087056,0.72552381,0.811383695,0.022250276,0.906372445,121.5894881,0.541081363,0.724408279,0.989684546,0.995042506,0.997406865,1.542828392,0.547785887,0.441898659,0.00236436,0.689075835,0.70701207,1,0.762224535,0.137238095,30.8,0.536055556,5.56E-13,0.507112209,0.400294137,0.724408279,112.3,0.842864807,0.860941788,0.860941788,0.444353301,0.580199078,0.862761905,0.860941788,0.724417395,0.540875786,0.862761905,0.860941788,0.751232055,0.723703989,0.139058212,0.139058212,0.863475606,0.862761905,0.861543528,0.137238095,0.137238095,0.862761905,0.862761905,0.890886725,0.830996852,0.857958159,0.868993054,0.109113275,0.169003148,0.142041841,0.131006946,0.862761905,0.873860694,0.724408279,0.721883577,0.726951213,6.214017553,0.139012901,64.26908832,107.4,86.4,17.8,13,224.6,120.4,104.2,125.2,99.4,0.536055556,0.874141459,0.298984443,0.864192311,0.883933134,0.137238095,0.299187073,0.780870867,0.674329204,0.481197146,0.669838491,0.860941788,0.857112773,0.202073055,0.926684632,0.721883577,0.721883577,1.599539584,4.8,0.011583333,0.826590201,0.786121374,0.860206672,0.933580961,0.850878126,0.872319364,0.892334344,0.874141459,0.874422442,0.748844884,30.8,0.85651054
Optuna,0.894924603,0.506132741,0.505907255,0.787396858,0.792272222,0.789849206,0.041371492,0.787300259,0.787300259,0.789849206,0.868484982,0.020441705,0.934990344,139.5617561,0.621372218,0.788114119,0.989453093,0.992118586,0.993427624,1.47134668,0.479228093,0.510224999,0.001309037,0.763823062,0.770533249,1,0.808035833,0.105075397,23.6,0.540571429,1.78E-16,0.442136223,0.352453696,0.788114119,112.3,0.876464566,0.893342377,0.893342377,0.514376398,0.618898448,0.894924603,0.893342377,0.788117681,0.62237476,0.894924603,0.893342377,0.803616742,0.787773778,0.106657623,0.106657623,0.894775304,0.894924603,0.89365013,0.105075397,0.105075397,0.894924603,0.894924603,0.918757136,0.867927618,0.888335433,0.901215176,0.081242864,0.132072382,0.111664567,0.098784824,0.894924603,0.903179243,0.788114119,0.786684754,0.789550609,7.032695761,0.093678769,76.06137422,110.6,90.4,13.8,9.8,224.6,120.4,104.2,124.4,100.2,0.536126984,0.903362737,0.297975453,0.894188123,0.912434536,0.105075397,0.298088196,0.823605779,0.731707684,0.419230532,0.611359136,0.893342377,0.890247784,0.155213072,1.033567163,0.786684754,0.786684754,1.662850796,4,0.009787698,0.866430206,0.837861807,0.892959934,0.973275686,0.884978374,0.903279585,0.920137452,0.903362737,0.903546284,0.807092569,23.6,0.886955116
Optuna,0.861111111,0.506809039,0.506352314,0.715236434,0.728728458,0.722222222,0.044437538,0.715028603,0.715028603,0.722222222,0.802334008,0.021841333,0.903920123,122.6126476,0.545949929,0.716668324,0.988231273,0.990650378,0.993305008,1.522916624,0.532266247,0.455965026,0.002654631,0.67137767,0.684573284,1,0.761457777,0.138888889,31.2,0.536896825,4.46E-04,0.493060547,0.389184694,0.716668324,112.3,0.833127415,0.858012479,0.858012479,0.458369989,0.569649124,0.861111111,0.858012479,0.716675887,0.546955446,0.861111111,0.858012479,0.754761028,0.715662867,0.141987521,0.141987521,0.858663408,0.861111111,0.857514302,0.138888889,0.138888889,0.861111111,0.861111111,0.889604309,0.82642065,0.863507381,0.853819434,0.110395691,0.17357935,0.136492619,0.146180566,0.861111111,0.875829691,0.716668324,0.716024959,0.717326815,10.28882408,0.150179483,119.6081438,106.6,86.8,17.4,13.8,224.6,120.4,104.2,124,100.6,0.536007937,0.876192663,0.29721584,0.868267733,0.883914091,0.138888889,0.297444202,0.784576907,0.687478705,0.469273502,0.65070821,0.858012479,0.851881824,0.209470733,0.968643103,0.716024959,0.716024959,1.624484276,3.6,0.014253968,0.809416799,0.779997282,0.856553824,0.913791303,0.847199926,0.865065228,0.900352341,0.876192663,0.876555845,0.75311169,31.2,0.85275935
Optuna,0.908285714,0.504788192,0.504667663,0.814830154,0.818295534,0.816571429,0.038852267,0.814784896,0.814784896,0.816571429,0.890980597,0.019243467,0.946002909,149.3080458,0.664789976,0.815236512,0.990945335,0.99484428,0.995552663,1.432218481,0.437374201,0.553571134,0.000708383,0.796445963,0.801959842,1,0.830679684,0.091714286,20.6,0.536031746,2.22E-17,0.404907533,0.324962659,0.815236512,112.3,0.895361055,0.906508283,0.906508283,0.556434375,0.631807919,0.908285714,0.906508283,0.815243134,0.665441483,0.908285714,0.906508283,0.826868102,0.815197196,0.093491717,0.093491717,0.908734851,0.908285714,0.907392448,0.091714286,0.091714286,0.908285714,0.908285714,0.9230484,0.889968165,0.90727121,0.910198493,0.0769516,0.110031835,0.09272879,0.089801507,0.908285714,0.914983298,0.815236512,0.813016565,0.817469703,8.63649561,0.086259155,101.8236441,111.2,92.8,11.4,9.2,224.6,120.4,104.2,122.6,102,0.536031746,0.915071544,0.293250498,0.910314861,0.919778793,0.091714286,0.293310763,0.843384497,0.760355253,0.385102688,0.571512836,0.906508283,0.903853461,0.13597174,1.103708286,0.813016565,0.813016565,1.695627363,2.2,0.006670635,0.888027762,0.848321728,0.906222486,0.980015401,0.901207507,0.912837226,0.926213855,0.915071544,0.915159805,0.83031961,20.6,0.904105755
Optuna,0.837896825,0.505841306,0.505606911,0.671979123,0.679579261,0.675793651,0.046241982,0.671817135,0.671817135,0.675793651,0.762613408,0.022855638,0.882693875,110.9881308,0.494043274,0.672612542,0.989212283,0.993172437,0.994542411,1.572263124,0.579090687,0.410121596,0.001369974,0.637319327,0.645393325,1,0.731412316,0.162103175,36.4,0.539579365,9.54E-06,0.538377594,0.423416319,0.672612542,112.3,0.819765183,0.835302075,0.835302075,0.41272993,0.541496972,0.837896825,0.835302075,0.672621243,0.494837497,0.837896825,0.835302075,0.715862821,0.672547883,0.164697925,0.164697925,0.837319169,0.837896825,0.835908567,0.162103175,0.162103175,0.837896825,0.837896825,0.857783035,0.812821115,0.84274306,0.831895277,0.142216965,0.187178885,0.15725694,0.168104723,0.837896825,0.849918498,0.672612542,0.670604149,0.674638337,7.359775204,0.195078982,105.3729604,103.4,84.8,19.4,17,224.6,120.4,104.2,122.8,101.8,0.536007937,0.850090744,0.294148694,0.845532307,0.85455266,0.162103175,0.294265891,0.750074907,0.64549837,0.516619432,0.69033446,0.835302075,0.831872051,0.237768826,0.889223282,0.670604149,0.670604149,1.576380594,2.4,0.009801587,0.800006415,0.734129426,0.834578392,0.879887711,0.827914255,0.840851623,0.865704749,0.850090744,0.850263047,0.700526094,36.4,0.834821345
Optuna,0.870043651,0.50560479,0.50483221,0.738377258,0.742478983,0.740087302,0.042247906,0.737626844,0.737626844,0.740087302,0.821183154,0.020943712,0.911093327,130.4292933,0.580821854,0.739996149,0.988893387,0.992647799,0.99714862,1.496045552,0.503397753,0.485495634,0.004500821,0.70075637,0.723298666,1,0.778945017,0.129956349,29.2,0.543190476,4.53E-09,0.46696568,0.369801753,0.739996149,112.3,0.847223669,0.869479681,0.869479681,0.48992032,0.581701879,0.870043651,0.869479681,0.740003381,0.579664199,0.870043651,0.869479681,0.768533271,0.738210701,0.130520319,0.130520319,0.8705237,0.870043651,0.868813422,0.129956349,0.129956349,0.870043651,0.870043651,0.898632888,0.840326475,0.864193557,0.876853843,0.101367112,0.159673525,0.135806443,0.123146157,0.870043651,0.880340452,0.739996149,0.738959363,0.7410474,8.597250119,0.137558863,111.0094834,108.4,87,17.2,12,224.6,120.4,104.2,125.6,99,0.536047619,0.880876382,0.300045073,0.870417255,0.891034365,0.129956349,0.300431363,0.795751966,0.680650691,0.443842303,0.615786425,0.869479681,0.865260226,0.190550815,1.007914493,0.738959363,0.738959363,1.610770047,5.2,0.014248016,0.830371419,0.799540228,0.868360653,0.921129934,0.859146893,0.879736643,0.903128697,0.880876382,0.881413222,0.762826444,29.2,0.859697748
Optuna,0.870821429,0.5092924,0.506877808,0.740175484,0.745000371,0.741642857,0.043498247,0.737929816,0.737929816,0.741642857,0.825432049,0.021505342,0.912971899,128.2779957,0.571021846,0.745597911,0.982232988,0.983650953,0.997872428,1.495859343,0.51220839,0.470024598,0.014221475,0.694101233,0.711684624,1,0.774410426,0.129178571,29,0.552968254,9.51E-11,0.468880017,0.367912225,0.745597911,112.3,0.832113136,0.873060759,0.873060759,0.479157455,0.591911802,0.870821429,0.873060759,0.745671007,0.566120151,0.870821429,0.873060759,0.76895176,0.738513496,0.126939241,0.126939241,0.872610247,0.870821429,0.868964908,0.129178571,0.129178571,0.870821429,0.870821429,0.907696448,0.83842507,0.860180492,0.885040003,0.092303552,0.16157493,0.139819508,0.114959997,0.870821429,0.880654739,0.745597911,0.746121519,0.745220495,7.988405261,0.115505905,95.71423932,109.4,86.2,18,11,224.6,120.4,104.2,127.4,97.2,0.536007937,0.882290188,0.305075809,0.867714927,0.895935244,0.129178571,0.306283105,0.792558282,0.681174591,0.445826268,0.619739705,0.873060759,0.864457897,0.191685481,1.001544272,0.746121519,0.746121519,1.608658106,7,0.024517857,0.81829556,0.805651833,0.870718052,0.950579403,0.859471829,0.884152768,0.920805342,0.882290188,0.88393847,0.76787694,29,0.847071599
Combinations,0.831718254,0.509238708,0.506644501,0.657793214,0.671274729,0.663436508,0.046783646,0.655127556,0.655127556,0.663436508,0.749489159,0.023055284,0.87690661,109.1707312,0.486138504,0.663429378,0.972912399,0.992567164,1.008373518,1.556247741,0.563680577,0.409231822,0.015806354,0.574458909,0.624227121,1,0.721640022,0.168281746,37.8,0.540503968,0.000731492,0.527870128,0.411175574,0.663429378,112.3,0.787581391,0.827598299,0.827598299,0.41109825,0.534435311,0.831718254,0.827598299,0.663600872,0.482631384,0.831718254,0.827598299,0.712747199,0.655895237,0.172401701,0.172401701,0.836002572,0.831718254,0.827563778,0.168281746,0.168281746,0.831718254,0.831718254,0.880162874,0.775033725,0.828155682,0.843849462,0.119837126,0.224966275,0.171844318,0.156150538,0.831718254,0.851098104,0.663429378,0.655196599,0.672005145,6.269977759,0.175254077,286.6889459,105.6,81.2,23,14.8,224.6,120.4,104.2,128.6,96,0.536059524,0.85262386,0.307685346,0.83671137,0.867671113,0.168281746,0.308982449,0.75071266,0.62043189,0.501352611,0.665063791,0.827598299,0.812996589,0.26446276,0.944633953,0.655196599,0.655196599,1.554879487,8.2,0.02719246,0.751232737,0.751815487,0.823378975,0.878230448,0.808168072,0.846264458,0.893941609,0.85262386,0.854159278,0.708318556,37.8,0.814376947
Combinations,0.866519841,0.506707825,0.50531712,0.731315862,0.735910031,0.733039683,0.04442578,0.730035215,0.730035215,0.733039683,0.818390391,0.022007921,0.909655365,123.885162,0.551829108,0.734393849,0.985078085,0.991441568,0.99957221,1.525974148,0.53453258,0.450545505,0.008130643,0.687133434,0.708702166,1,0.766991434,0.133480159,30,0.545892857,1.66E-13,0.493261324,0.388284167,0.734393849,112.3,0.838283007,0.865874502,0.865874502,0.455047362,0.587095129,0.866519841,0.865874502,0.734410576,0.549496516,0.866519841,0.865874502,0.758770282,0.730635808,0.134125498,0.134125498,0.868536074,0.866519841,0.865017608,0.133480159,0.133480159,0.866519841,0.866519841,0.904046889,0.827702116,0.855577465,0.881494683,0.095953111,0.172297884,0.144422535,0.118505317,0.866519841,0.877883464,0.734393849,0.731749005,0.737072148,6.672489616,0.121145994,71.35946789,109,85.6,18.6,11.4,224.6,120.4,104.2,127.6,97,0.536115079,0.878845461,0.304771655,0.864103356,0.893043559,0.133480159,0.305467008,0.78684418,0.670786776,0.465966697,0.650107138,0.865874502,0.859651045,0.198483395,0.94854971,0.731749005,0.731749005,1.594704962,7.2,0.01778373,0.819548345,0.801291687,0.86423834,0.945756651,0.852227843,0.8809588,0.906809351,0.878845461,0.879812177,0.759624354,30,0.852815004
Combinations,0.878043651,0.506548524,0.505846847,0.752588547,0.760072644,0.756087302,0.041248285,0.751929051,0.751929051,0.756087302,0.833435186,0.020353838,0.917937174,134.2441866,0.597766548,0.754154625,0.984590352,0.994385264,0.998532146,1.473855061,0.479469798,0.505120555,0.004146882,0.706358028,0.734327488,1,0.789460967,0.121956349,27.4,0.536996032,3.43E-09,0.447064193,0.354129633,0.754154625,112.3,0.852749643,0.875076135,0.875076135,0.507765848,0.590893899,0.878043651,0.875076135,0.75417947,0.598389604,0.878043651,0.875076135,0.782536722,0.752481134,0.124923865,0.124923865,0.879103335,0.878043651,0.875964526,0.121956349,0.121956349,0.878043651,0.878043651,0.914447219,0.835705051,0.869794236,0.888412435,0.085552781,0.164294949,0.130205764,0.111587565,0.878043651,0.891224684,0.754154625,0.75015227,0.75820667,8.180726277,0.116502483,228.1189158,110,87.2,17,10.4,224.6,120.4,104.2,127,97.6,0.536107143,0.891672394,0.303707154,0.878167829,0.904925543,0.121956349,0.304057992,0.811060818,0.692353079,0.42015647,0.590643621,0.875076135,0.86833392,0.186203956,1.067207585,0.75015227,0.75015227,1.6271139,6.6,0.014676587,0.829165823,0.824133392,0.87353401,0.933190526,0.861581127,0.890713508,0.914447219,0.891672394,0.892120727,0.784241455,27.4,0.869794236
Combinations,0.843440476,0.50500244,0.504002492,0.684334057,0.69041395,0.686880952,0.045061914,0.683242974,0.683242974,0.686880952,0.772655409,0.022345805,0.887238253,115.1003468,0.512906196,0.686222521,0.98762828,0.994988407,1.000852791,1.552885812,0.557897405,0.429730875,0.005864384,0.630835778,0.666992371,1,0.740513662,0.156559524,35.2,0.536059524,2.15E-09,0.519119121,0.407918128,0.686222521,112.3,0.815598079,0.84203987,0.84203987,0.432203844,0.549199699,0.843440476,0.84203987,0.68624332,0.511819561,0.843440476,0.84203987,0.726149558,0.683947395,0.15796013,0.15796013,0.84420345,0.843440476,0.841621487,0.156559524,0.156559524,0.843440476,0.843440476,0.876033829,0.808045911,0.842570898,0.845836002,0.123966171,0.191954089,0.157429102,0.154163998,0.843440476,0.858047361,0.686222521,0.684079741,0.688406899,8.691105393,0.174746864,136.9016719,105.6,83.8,20.4,14.8,224.6,120.4,104.2,126,98.6,0.536059524,0.858674252,0.300515135,0.848485694,0.868510381,0.156559524,0.301015109,0.762618827,0.639429321,0.492527449,0.662180329,0.84203987,0.836844141,0.230737229,0.926878097,0.684079741,0.684079741,1.568702022,5.6,0.017787698,0.790663269,0.754197553,0.840270691,0.88901596,0.829830232,0.852566356,0.884857933,0.858674252,0.859302364,0.718604727,35.2,0.833746794
Combinations,0.835301587,0.506948977,0.506234971,0.666379213,0.674983706,0.670603175,0.046200361,0.665951772,0.665951772,0.670603175,0.756931919,0.022792048,0.879974002,110.3028795,0.491214689,0.668511426,0.984096373,0.993630947,0.997876439,1.563168207,0.56953726,0.414559113,0.004245492,0.628686853,0.637375181,1,0.727909349,0.164698413,37,0.536063492,0.00000108,0.53104305,0.415419469,0.668511426,112.3,0.804503495,0.831682089,0.831682089,0.416575763,0.538158391,0.835301587,0.831682089,0.668567324,0.490720561,0.835301587,0.831682089,0.71357765,0.666695262,0.168317911,0.168317911,0.836885235,0.835301587,0.832975886,0.164698413,0.164698413,0.835301587,0.835301587,0.867320645,0.796043532,0.832331346,0.841439123,0.132679355,0.203956468,0.167668654,0.158560877,0.835301587,0.848843216,0.668511426,0.663364178,0.673770469,6.378056861,0.18505038,369.6907152,104.2,83.4,20.8,16.2,224.6,120.4,104.2,125,99.6,0.536063492,0.849334386,0.299423041,0.838710791,0.859682434,0.164698413,0.299780044,0.749817104,0.630288953,0.506153778,0.669618224,0.831682089,0.822999341,0.250316732,0.955066289,0.663364178,0.663364178,1.561645557,4.6,0.017353175,0.785706508,0.754098657,0.830356568,0.87670201,0.81972616,0.845220223,0.876844455,0.849334386,0.849825996,0.699651992,37,0.822807537
Combinations,0.861892857,0.507704437,0.507026182,0.720888816,0.726843467,0.723785714,0.045092837,0.720553865,0.720553865,0.723785714,0.809270776,0.022256994,0.905516566,121.5154344,0.540826787,0.723035788,0.981680208,0.993983487,0.997995041,1.533571073,0.539587586,0.442092622,0.004011554,0.68538255,0.705795321,1,0.760636365,0.138107143,31,0.537805556,1.61E-12,0.502158815,0.395265022,0.723035788,112.3,0.830761156,0.85813307,0.85813307,0.445280319,0.578742104,0.861892857,0.85813307,0.723080711,0.540001338,0.861892857,0.85813307,0.75136834,0.721176329,0.14186693,0.14186693,0.864947641,0.861892857,0.860276933,0.138107143,0.138107143,0.861892857,0.861892857,0.900353586,0.815912554,0.845609758,0.884285524,0.099646414,0.184087446,0.154390242,0.115714476,0.861892857,0.872031259,0.723035788,0.71626614,0.729895282,5.38242121,0.129519871,69.77297425,108.8,84.8,19.4,11.6,224.6,120.4,104.2,128.2,96.4,0.536019841,0.872506294,0.306884123,0.855963517,0.888782666,0.138107143,0.30722325,0.779548127,0.654840423,0.475911009,0.657424417,0.85813307,0.849517236,0.212814766,0.943290961,0.71626614,0.71626614,1.576725003,7.8,0.01735119,0.813411649,0.803086862,0.856957301,0.932041252,0.844119509,0.879116418,0.900353586,0.872506294,0.872981672,0.745963344,31,0.845609758
Combinations,0.863797619,0.505715094,0.50559042,0.724040456,0.73113177,0.727595238,0.043886915,0.723910048,0.723910048,0.727595238,0.810058809,0.021692567,0.906315051,123.8994135,0.551724574,0.724292051,0.992779509,0.99030821,0.99103971,1.527195557,0.536887347,0.455892162,0.0007315,0.698975235,0.690190223,1,0.766438431,0.136202381,30.6,0.55027381,2.50E-05,0.49524414,0.392012458,0.724292051,112.3,0.852956259,0.862480627,0.862480627,0.459635102,0.575884851,0.863797619,0.862480627,0.724296154,0.553181211,0.863797619,0.862480627,0.755871785,0.724524488,0.137519373,0.137519373,0.861815528,0.863797619,0.861955024,0.136202381,0.136202381,0.863797619,0.863797619,0.874841918,0.850119335,0.873580569,0.850050486,0.125158082,0.149880665,0.126419431,0.149949514,0.863797619,0.874054179,0.724292051,0.724961253,0.723631055,7.958585452,0.159556617,101.2761597,105,89,15.2,15.4,224.6,120.4,104.2,120.2,104.4,0.535988095,0.874132701,0.288348781,0.873731362,0.874490043,0.136202381,0.288411118,0.782398032,0.706547462,0.477078304,0.661860753,0.862480627,0.861807011,0.1954344,0.953204861,0.724961253,0.724961253,1.64420008,-0.2,0.005787698,0.848626309,0.767373736,0.862348933,0.920893586,0.858577171,0.86188007,0.88294551,0.874132701,0.874211244,0.748422487,30.6,0.865476977
Combinations,0.850265873,0.503375573,0.502969905,0.698925068,0.702533482,0.700531746,0.045034847,0.698486015,0.698486015,0.700531746,0.787193368,0.022383763,0.894138048,118.3784238,0.52675128,0.699685796,0.995302996,0.993758688,0.996111889,1.553994053,0.560235365,0.435067632,0.002353201,0.683335959,0.667267918,1,0.749392093,0.149734127,33.6,0.540555556,0.000343927,0.518210467,0.409233184,0.699685796,112.3,0.8314458,0.849920973,0.849920973,0.437178358,0.558272556,0.850265873,0.849920973,0.699690817,0.52595345,0.850265873,0.849920973,0.7345371,0.699157847,0.150079027,0.150079027,0.849769844,0.850265873,0.849243007,0.149734127,0.149734127,0.850265873,0.850265873,0.85868987,0.841152077,0.862906399,0.836633288,0.14131013,0.158847923,0.137093601,0.163366712,0.850265873,0.860264117,0.699685796,0.699841947,0.699539687,6.941482785,0.18496057,81.24704254,103,88,16.2,17.4,224.6,120.4,104.2,119.2,105.4,0.536111111,0.860531009,0.284899635,0.861715715,0.859196581,0.149734127,0.285102469,0.764667189,0.683235322,0.498821621,0.67993297,0.849920973,0.84828232,0.214561201,0.912212178,0.699841947,0.699841947,1.618369425,-1.2,0.011585317,0.834093354,0.747015094,0.849716638,0.896042777,0.84693795,0.848015029,0.87827106,0.860531009,0.860798135,0.721596269,33.6,0.843325209
Combinations,0.90293254,0.504798223,0.504333999,0.804250108,0.807619833,0.805865079,0.039617387,0.804065951,0.804065951,0.805865079,0.881900187,0.019640769,0.941428446,146.1490963,0.65069376,0.805778675,0.99022573,0.994543892,0.997262664,1.441721612,0.44717772,0.543048011,0.002718772,0.783164138,0.790601176,1,0.822212172,0.09706746,21.8,0.536047619,1.11E-16,0.413068346,0.329525763,0.805778675,112.3,0.882575978,0.901683832,0.901683832,0.546141093,0.626943551,0.90293254,0.901683832,0.805795113,0.649256634,0.90293254,0.901683832,0.818061073,0.804502166,0.098316168,0.098316168,0.904111281,0.90293254,0.902032976,0.09706746,0.09706746,0.90293254,0.90293254,0.923814865,0.879552799,0.898578749,0.909643813,0.076185135,0.120447201,0.101421251,0.090356187,0.90293254,0.910499462,0.805778675,0.803367664,0.808222562,8.40174303,0.08638711,111.2142694,111.2,91.6,12.6,9.2,224.6,120.4,104.2,123.8,100.8,0.536047619,0.910847967,0.295811841,0.903190741,0.918309654,0.09706746,0.296043953,0.836186567,0.746067296,0.391909029,0.575081779,0.901683832,0.896467352,0.146417275,1.103181975,0.803367664,0.803367664,1.678605417,3.4,0.011152778,0.878274979,0.847832509,0.901062036,0.977952865,0.894167904,0.910584715,0.929626804,0.910847967,0.911196807,0.822393614,21.8,0.89276681
Combinations,0.894920635,0.503818652,0.503549656,0.788410634,0.791353047,0.78984127,0.041146683,0.788296412,0.788296412,0.78984127,0.869058132,0.020430079,0.93496359,140.0086609,0.623355841,0.789267985,0.994052319,0.994129284,0.995687462,1.474127126,0.479997842,0.514054477,0.001558178,0.773633507,0.770131021,1,0.808830308,0.105079365,23.6,0.543174603,1.78E-16,0.441537924,0.351838228,0.789267985,112.3,0.878599578,0.894595919,0.894595919,0.517134016,0.619399825,0.894920635,0.894595919,0.789271788,0.622593002,0.894920635,0.894595919,0.802856539,0.788767721,0.105404081,0.105404081,0.894675869,0.894920635,0.894148206,0.105079365,0.105079365,0.894920635,0.894920635,0.901934901,0.887256937,0.901850116,0.887501622,0.098065099,0.112743063,0.098149884,0.112498378,0.894920635,0.901457358,0.789267985,0.789191838,0.789351738,8.404294038,0.110153703,78.64765201,108.6,92.4,11.8,11.8,224.6,120.4,104.2,120.4,104.2,0.536031746,0.901674859,0.287818479,0.901584038,0.901643713,0.105079365,0.287952977,0.820864491,0.752027968,0.423083508,0.615046141,0.894595919,0.892122709,0.152561527,1.038521173,0.789191838,0.789191838,1.685231682,0,0.008900794,0.871629922,0.811735927,0.894313852,0.9735056,0.892031127,0.894336048,0.917073554,0.901674859,0.901892508,0.803785017,23.6,0.886711463
