NP1,NP2,NP3,NP4,NP5,NP6.1,NP6.2
Mycobacterium smegmatis str. MC2 155,RESISTANT Stenotrophomonas maltophilia,Haemophilus influenzae,Staphylococcus aureus,Streptococcus viridans,Lactobacillus fermentum,Staphylococcus aureus subsp. aureus RN4220
Fusobacterium necrophorum,Streptococcus sp.,Acinetobacter lwoffii,Prevotella melaninogenica,Clostridium clostridioforme,Clostridium clostridioforme,RESISTANT Clostridium difficile
Anaerococcus prevotii,Mycoplasma pneumoniae,Propionibacterium,Carnobacterium divergens,Enterococcus sp.,Staphylococcus intermedius,Pectobacterium atrosepticum
RESISTANT Coxiella burnetii,Moraxella catarrhalis,Peptostreptococcus anaerobius,Nocardia otitidiscaviarum,Enterobacteriaceae,Mycobacterium marinum,Fusobacterium nucleatum
Coxiella burnetii,Anaerococcus prevotii,Anaerococcus prevotii,RESISTANT Staphylococcus aureus subsp. aureus RN4220,Sarcina,Escherichia coli ATCC 8739,Carnobacterium divergens
Nocardia farcinica,RESISTANT Staphylococcus hominis,RESISTANT Streptococcus pyogenes,Prevotella denticola,Neisseria meningitidis,Bacillus licheniformis,Streptococcus viridans
Pseudomonas tolaasii,Peptostreptococcus anaerobius,Mycobacterium marinum,Eubacterium limosum,Campylobacter jejuni,Listeria monocytogenes,Nocardia farcinica
RESISTANT Staphylococcus haemolyticus,RESISTANT Providencia rettgeri,Streptococcus intermedius,Peptostreptococcus sp.,RESISTANT Staphylococcus simulans,Peptostreptococcus anaerobius,RESISTANT Mycobacterium ulcerans
Staphylococcus sp.,Mycoplasma hominis,RESISTANT Coxiella burnetii,Streptococcus mutans,RESISTANT Bacteroides vulgatus,RESISTANT Prevotella intermedia,Nocardia transvalensis
Mycoplasma putrefaciens,Mycobacterium marinum,Coxiella burnetii,RESISTANT Bacillus anthracis,Lactobacillus casei,Staphylococcus aureus,Enterococcus faecalis ATCC 29212
RESISTANT Prevotella intermedia,RESISTANT Bacillus subtilis,Kocuria rhizophila,RESISTANT Acinetobacter calcoaceticus,Peptostreptococcus sp.,Staphylococcus capitis,Yersinia pestis
Salmonella enteritidis,Dialister invisus,Mycobacterium smegmatis str. MC2 155,Lactococcus lactis,Bacillus subtilis subsp. subtilis str. 168,RESISTANT Clostridium paraputrificum,RESISTANT Prevotella disiens
Staphylococcus capitis,Nocardia farcinica,RESISTANT Haemophilus influenzae,Peptostreptococcus anaerobius,,RESISTANT Clostridium septicum,RESISTANT Prevotella buccae
RESISTANT Klebsiella pneumoniae,Staphylococcus hominis,RESISTANT Bacillus cereus,Streptococcus viridans,,RESISTANT Yersinia enterocolitica,RESISTANT Bacteroides distasonis
Mycoplasma hominis,RESISTANT Bacillus cereus,Bacteroides distasonis,Campylobacter jejuni,,Bacteroides uniformis,RESISTANT Fusobacterium mortiferum
Chlamydophila pneumoniae,Parabacteroides merdae,Moraxella catarrhalis,Lactobacillus fermentum,,RESISTANT Peptostreptococcus micros,RESISTANT Clostridium septicum
Pseudomonas fluorescens,Kocuria rhizophila,Mycoplasma pneumoniae,Porphyromonas gingivalis,,RESISTANT Peptoniphilus asaccharolyticus,RESISTANT Clostridium paraputrificum
Peptostreptococcus anaerobius,Mycobacterium bovis,RESISTANT Providencia rettgeri,Sarcina,,Peptostreptococcus sp.,Corynebacterium jeikeium
Brachyspira hyodysenteriae,Prevotella bivia,Streptococcus pyogenes,RESISTANT Propionibacterium acnes,,RESISTANT Streptococcus agalactiae,RESISTANT Enterobacter
RESISTANT Morganella morganii,Bacteroides uniformis,RESISTANT Staphylococcus hominis,Pectobacterium atrosepticum,,RESISTANT Staphylococcus epidermidis ATCC 12228,Fusobacterium mortiferum
RESISTANT Pseudomonas sp.,Mycoplasma putrefaciens,RESISTANT Fusobacterium nucleatum,Clostridium clostridioforme,,RESISTANT Fusobacterium nucleatum,RESISTANT Escherichia coli DH5[alpha]
RESISTANT Haemophilus parainfluenzae,Streptococcus viridans,Staphylococcus haemolyticus,RESISTANT Fusobacterium mortiferum,,Pectobacterium atrosepticum,RESISTANT Peptoniphilus asaccharolyticus
RESISTANT Citrobacter koseri,Bacteroides distasonis,Mycobacterium bovis,RESISTANT Bacteroides fragilis,,Carnobacterium divergens,RESISTANT Peptostreptococcus micros
RESISTANT Staphylococcus epidermidis ATCC 12228,RESISTANT Streptococcus sp. group B,Clostridium septicum,Clostridium septicum,,Coxiella burnetii,Corynebacterium xerosis
Mycobacterium avium,Citrobacter koseri,Nocardia farcinica,Kocuria rhizophila,,RESISTANT Coxiella burnetii,RESISTANT Bacteroides vulgatus
Streptococcus suis,Bacteroides stercoris,Streptococcus sp.,Burkholderia pseudomallei,,Streptococcus oralis,RESISTANT Clostridium ramosum
Pseudomonas aeruginosa PAO1,Mycobacterium phlei,Streptococcus mutans,Capnocytophaga ochracea,,Eubacterium limosum,Listeria innocua
RESISTANT Bacillus cereus,RESISTANT Pseudomonas sp.,Bacteroides stercoris,Enterococcus sp.,,RESISTANT Bacteroides fragilis,Actinomyces israelii
Streptococcus pyogenes,RESISTANT Citrobacter koseri,RESISTANT Finegoldia magna,Fusobacterium sp.,,Bacillus pumilus,Mycobacterium mageritense
Kocuria rhizophila,RESISTANT Haemophilus parainfluenzae,Staphylococcus hominis,Streptococcus intermedius,,Capnocytophaga ochracea,Staphylococcus aureus
Staphylococcus aureus subsp. aureus RN4220,Staphylococcus warneri,Prevotella bivia,RESISTANT Prevotella disiens,,Bacillus thuringiensis,Pseudomonas aeruginosa PAO1
Parabacteroides merdae,Streptococcus sp. 'group A',Mycobacterium,RESISTANT Prevotella buccae,,Listonella anguillarum,RESISTANT Bacteroides fragilis
Streptococcus pneumoniae,RESISTANT Staphylococcus epidermidis ATCC 12228,Streptococcus suis,RESISTANT Bacteroides distasonis,,RESISTANT Clostridium perfringens,Peptostreptococcus sp.
Corynebacterium diphtheriae,Prevotella melaninogenica,Pseudomonas tolaasii,RESISTANT Enterobacter,,RESISTANT Escherichia coli DH5[alpha],RESISTANT Staphylococcus haemolyticus
,Staphylococcus sp.,Streptococcus pneumoniae,RESISTANT Bacteroides thetaiotaomicron,,Bacteroides stercoris,RESISTANT Staphylococcus epidermidis ATCC 12228
,Bacteroides caccae,Bacteroides thetaiotaomicron,Staphylococcus lentus,,RESISTANT Enterobacter,Yersinia enterocolitica
,Peptostreptococcus sp.,Prevotella melaninogenica,Streptococcus sanguinis,,Enterococcus durans,RESISTANT Bacillus cereus
