,group1,group2,meandiff,p-adj,lower,upper,reject
94,CSEL,Perceptron,4.8809,0.0,1.5729,8.1889,True
95,CSEL,QDA,24.5521,0.0,21.2441,27.8601,True
96,CSEL,RF,7.4576,0.0,4.1496,10.7656,True
97,CSEL,Ridge,5.4927,0.0,2.1848,8.8007,True
98,CSEL,SGD,6.3745,0.0,3.0665,9.6825,True
99,CSEL,SVC,7.7275,0.0,4.4195,11.0355,True
100,CSEL,Stacking_ETs,5.6558,0.0,2.3478,8.9638,True
101,CSEL,Stacking_LR,5.4031,0.0,2.0951,8.7111,True
102,CSEL,Stacking_NuSCV,4.9284,0.0,1.6204,8.2363,True
103,CSEL,Stacking_RF,4.1407,0.0015,0.8327,7.4486,True
104,CSEL,Stacking_Ridge,4.9301,0.0,1.6221,8.2381,True
105,CSEL,XGB,5.0769,0.0,1.7689,8.3849,True
106,DF,DT,1.2721,0.9998,-2.0359,4.5801,False
107,DF,ET,0.2189,1.0,-3.0891,3.5269,False
108,DF,ETs,-1.2492,0.9998,-4.5572,2.0588,False
109,DF,GBC,1.324,0.9995,-1.984,4.6319,False
110,DF,GNB,8.8101,0.0,5.5021,12.1181,True
111,DF,GP,2.8352,0.2236,-0.4728,6.1432,False
112,DF,KNN,5.3538,0.0,2.0459,8.6618,True
113,DF,LDA,-1.5921,0.9912,-4.9001,1.7159,False
114,DF,LR,-1.4576,0.9976,-4.7656,1.8504,False
115,DF,LinearSVC,-2.1275,0.7991,-5.4355,1.1805,False
116,DF,NuSVC,-0.3956,1.0,-3.7036,2.9124,False
117,DF,PA,0.909,1.0,-2.399,4.217,False
118,DF,Perceptron,-0.9626,1.0,-4.2706,2.3454,False
119,DF,QDA,18.7086,0.0,15.4006,22.0166,True
120,DF,RF,1.6141,0.9894,-1.6939,4.9221,False
121,DF,Ridge,-0.3508,1.0,-3.6588,2.9572,False
122,DF,SGD,0.531,1.0,-2.777,3.839,False
123,DF,SVC,1.884,0.9323,-1.424,5.1919,False
124,DF,Stacking_ETs,-0.1877,1.0,-3.4957,3.1203,False
125,DF,Stacking_LR,-0.4404,1.0,-3.7484,2.8676,False
126,DF,Stacking_NuSCV,-0.9152,1.0,-4.2232,2.3928,False
127,DF,Stacking_RF,-1.7029,0.9786,-5.0108,1.6051,False
128,DF,Stacking_Ridge,-0.9134,1.0,-4.2214,2.3946,False
129,DF,XGB,-0.7666,1.0,-4.0746,2.5414,False
130,DT,ET,-1.0532,1.0,-4.3612,2.2548,False
131,DT,ETs,-2.5213,0.4604,-5.8293,0.7867,False
132,DT,GBC,0.0519,1.0,-3.2561,3.3599,False
133,DT,GNB,7.538,0.0,4.23,10.846,True
134,DT,GP,1.5631,0.9932,-1.7449,4.8711,False
135,DT,KNN,4.0818,0.0019,0.7738,7.3897,True
136,DT,LDA,-2.8642,0.2067,-6.1722,0.4438,False
137,DT,LR,-2.7297,0.2928,-6.0377,0.5783,False
138,DT,LinearSVC,-3.3996,0.0356,-6.7076,-0.0916,True
139,DT,NuSVC,-1.6677,0.9836,-4.9757,1.6403,False
140,DT,PA,-0.3631,1.0,-3.6711,2.9449,False
141,DT,Perceptron,-2.2347,0.7154,-5.5427,1.0733,False
142,DT,QDA,17.4365,0.0,14.1285,20.7445,True
143,DT,RF,0.342,1.0,-2.966,3.65,False
144,DT,Ridge,-1.6229,0.9885,-4.9308,1.6851,False
145,DT,SGD,-0.7411,1.0,-4.0491,2.5669,False
146,DT,SVC,0.6119,1.0,-2.6961,3.9199,False
147,DT,Stacking_ETs,-1.4598,0.9975,-4.7678,1.8482,False
148,DT,Stacking_LR,-1.7125,0.977,-5.0205,1.5955,False
149,DT,Stacking_NuSCV,-2.1873,0.7539,-5.4952,1.1207,False
150,DT,Stacking_RF,-2.9749,0.1506,-6.2829,0.333,False
151,DT,Stacking_Ridge,-2.1855,0.7553,-5.4935,1.1225,False
152,DT,XGB,-2.0387,0.8576,-5.3467,1.2693,False
153,ET,ETs,-1.4681,0.9973,-4.7761,1.8399,False
154,ET,GBC,1.1051,1.0,-2.2029,4.413,False
155,ET,GNB,8.5912,0.0,5.2832,11.8992,True
156,ET,GP,2.6163,0.3797,-0.6917,5.9243,False
157,ET,KNN,5.1349,0.0,1.827,8.4429,True
158,ET,LDA,-1.811,0.9557,-5.119,1.497,False
159,ET,LR,-1.6765,0.9824,-4.9845,1.6315,False
160,ET,LinearSVC,-2.3464,0.6181,-5.6544,0.9616,False
161,ET,NuSVC,-0.6145,1.0,-3.9225,2.6935,False
162,ET,PA,0.6901,1.0,-2.6179,3.9981,False
163,ET,Perceptron,-1.1815,0.9999,-4.4895,2.1265,False
164,ET,QDA,18.4897,0.0,15.1817,21.7977,True
165,ET,RF,1.3952,0.9988,-1.9128,4.7032,False
166,ET,Ridge,-0.5697,1.0,-3.8777,2.7383,False
167,ET,SGD,0.3121,1.0,-2.9959,3.6201,False
168,ET,SVC,1.6651,0.9839,-1.6429,4.973,False
169,ET,Stacking_ETs,-0.4066,1.0,-3.7146,2.9014,False
170,ET,Stacking_LR,-0.6593,1.0,-3.9673,2.6486,False
171,ET,Stacking_NuSCV,-1.1341,1.0,-4.4421,2.1739,False
172,ET,Stacking_RF,-1.9218,0.9173,-5.2297,1.3862,False
173,ET,Stacking_Ridge,-1.1323,1.0,-4.4403,2.1757,False
174,ET,XGB,-0.9855,1.0,-4.2935,2.3225,False
175,ETs,GBC,2.5732,0.4156,-0.7348,5.8812,False
176,ETs,GNB,10.0593,0.0,6.7514,13.3673,True
177,ETs,GP,4.0844,0.0019,0.7764,7.3924,True
178,ETs,KNN,6.6031,0.0,3.2951,9.9111,True
179,ETs,LDA,-0.3429,1.0,-3.6508,2.9651,False
180,ETs,LR,-0.2084,1.0,-3.5163,3.0996,False
181,ETs,LinearSVC,-0.8782,1.0,-4.1862,2.4297,False
182,ETs,NuSVC,0.8536,1.0,-2.4544,4.1616,False
183,ETs,PA,2.1582,0.7764,-1.1497,5.4662,False
184,ETs,Perceptron,0.2866,1.0,-3.0214,3.5946,False
185,ETs,QDA,19.9578,0.0,16.6498,23.2658,True
186,ETs,RF,2.8633,0.2072,-0.4447,6.1713,False
187,ETs,Ridge,0.8985,1.0,-2.4095,4.2065,False
188,ETs,SGD,1.7802,0.9635,-1.5278,5.0882,False
189,ETs,SVC,3.1332,0.0916,-0.1748,6.4412,False
190,ETs,Stacking_ETs,1.0615,1.0,-2.2465,4.3695,False
191,ETs,Stacking_LR,0.8088,1.0,-2.4992,4.1168,False
192,ETs,Stacking_NuSCV,0.3341,1.0,-2.9739,3.6421,False
193,ETs,Stacking_RF,-0.4536,1.0,-3.7616,2.8544,False
194,ETs,Stacking_Ridge,0.3358,1.0,-2.9722,3.6438,False
195,ETs,XGB,0.4826,1.0,-2.8254,3.7906,False
196,GBC,GNB,7.4862,0.0,4.1782,10.7941,True
197,GBC,GP,1.5112,0.9958,-1.7968,4.8192,False
198,GBC,KNN,4.0299,0.0025,0.7219,7.3379,True
199,GBC,LDA,-2.916,0.1788,-6.224,0.3919,False
200,GBC,LR,-2.7815,0.2573,-6.0895,0.5265,False
