,group1,group2,meandiff,p-adj,lower,upper,reject
93,CSEL,PA,-3.4226,0.6835,-8.4052,1.5599,False
94,CSEL,Perceptron,-3.6458,0.5509,-8.6284,1.3367,False
95,CSEL,QDA,21.1062,0.0,16.1236,26.0887,True
96,CSEL,RF,-1.0913,1.0,-6.0738,3.8913,False
97,CSEL,Ridge,-2.1577,0.9982,-7.1403,2.8248,False
98,CSEL,SGD,-3.4226,0.6835,-8.4052,1.5599,False
99,CSEL,SVC,0.1736,1.0,-4.8089,5.1561,False
100,CSEL,Stacking_ETs,-2.5794,0.977,-7.5619,2.4032,False
101,CSEL,Stacking_LR,-3.249,0.7772,-8.2315,1.7335,False
102,CSEL,Stacking_NuSCV,0.0,1.0,-4.9825,4.9825,False
103,CSEL,Stacking_RF,-1.2897,1.0,-6.2722,3.6929,False
104,CSEL,Stacking_Ridge,-1.0665,1.0,-6.049,3.9161,False
105,CSEL,XGB,-2.1577,0.9982,-7.1403,2.8248,False
106,DF,DT,0.8681,1.0,-4.1145,5.8506,False
107,DF,ET,0.8681,1.0,-4.1145,5.8506,False
108,DF,ETs,1.0665,1.0,-3.9161,6.049,False
109,DF,GBC,-0.9177,1.0,-5.9002,4.0649,False
110,DF,GNB,-1.3145,1.0,-6.297,3.668,False
111,DF,GP,-1.0913,1.0,-6.0738,3.8913,False
112,DF,KNN,-1.1161,1.0,-6.0986,3.8665,False
113,DF,LDA,0.6448,1.0,-4.3377,5.6274,False
114,DF,LR,-1.0913,1.0,-6.0738,3.8913,False
115,DF,LinearSVC,1.9345,0.9997,-3.048,6.9171,False
116,DF,NuSVC,-1.0913,1.0,-6.0738,3.8913,False
117,DF,PA,-2.3562,0.9931,-7.3387,2.6264,False
118,DF,Perceptron,-2.5794,0.977,-7.5619,2.4032,False
119,DF,QDA,22.1726,0.0,17.1901,27.1552,True
120,DF,RF,-0.0248,1.0,-5.0073,4.9577,False
121,DF,Ridge,-1.0913,1.0,-6.0738,3.8913,False
122,DF,SGD,-2.3562,0.9931,-7.3387,2.6264,False
123,DF,SVC,1.2401,1.0,-3.7425,6.2226,False
124,DF,Stacking_ETs,-1.5129,1.0,-6.4954,3.4696,False
125,DF,Stacking_LR,-2.1825,0.9978,-7.1651,2.8,False
126,DF,Stacking_NuSCV,1.0665,1.0,-3.9161,6.049,False
127,DF,Stacking_RF,-0.2232,1.0,-5.2057,4.7593,False
128,DF,Stacking_Ridge,0.0,1.0,-4.9825,4.9825,False
129,DF,XGB,-1.0913,1.0,-6.0738,3.8913,False
130,DT,ET,0.0,1.0,-4.9825,4.9825,False
131,DT,ETs,0.1984,1.0,-4.7841,5.1809,False
132,DT,GBC,-1.7857,0.9999,-6.7682,3.1968,False
133,DT,GNB,-2.1825,0.9978,-7.1651,2.8,False
134,DT,GP,-1.9593,0.9996,-6.9419,3.0232,False
